Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOT,B,SW_SPST_TL3342,270.809905,-46.827590,0.000000,bottom
C1,22pF,C_0402_1005Metric,265.509893,-76.627583,90.000000,bottom
C2,22pF,C_0402_1005Metric,263.009895,-79.377576,180.000000,bottom
C3,1uF,C_0402_1005Metric,253.309899,-56.827555,0.000000,bottom
C4,1uF,C_0402_1005Metric,253.809893,-62.177549,180.000000,bottom
C5,1uF,C_0402_1005Metric,257.759914,-62.627572,90.000000,bottom
C6,100nF,C_0402_1005Metric,261.659899,-62.127597,90.000000,bottom
C7,100nF,C_0402_1005Metric,258.259906,-74.377568,-90.000000,bottom
C8,100nF,C_0402_1005Metric,259.259903,-74.377562,-90.000000,bottom
C9,100nF,C_0402_1005Metric,256.759894,-62.627575,90.000000,bottom
C10,100nF,C_0402_1005Metric,255.759895,-62.627588,90.000000,bottom
C11,100nF,C_0402_1005Metric,254.509911,-65.827596,180.000000,bottom
C12,100nF,C_0402_1005Metric,265.509925,-65.827579,0.000000,bottom
C13,100nF,C_0402_1005Metric,260.159891,-62.627561,0.000000,bottom
C14,100nF,C_0402_1005Metric,260.159904,-61.627584,0.000000,bottom
C15,100nF,C_0402_1005Metric,254.509897,-69.827578,180.000000,bottom
C16,100nF,C_0402_1005Metric,265.509919,-69.827585,0.000000,bottom
C17,100nF,C_0402_1005Metric,262.409909,-59.627564,-90.000000,bottom
C_S,4.7n,C_0402_1005Metric,249.349221,-52.330368,0.000000,bottom
D1,D,D_SOD-323,181.060324,-53.761996,-105.000000,bottom
D2,D,D_SOD-323,198.770324,-53.351547,-105.000000,bottom
D3,D,D_SOD-323,216.370324,-53.351996,-105.000000,bottom
D4,D,D_SOD-323,231.610324,-62.181996,-105.000000,bottom
D5,D,D_SOD-323,305.600985,-60.536648,-75.000000,bottom
D6,D,D_SOD-323,320.840985,-51.716648,-75.000000,bottom
D7,D,D_SOD-323,338.440985,-51.706648,-75.000000,bottom
D8,D,D_SOD-323,356.150985,-52.126648,-75.000000,bottom
D9,D,D_SOD-323,176.650324,-70.191996,-105.000000,bottom
D10,D,D_SOD-323,194.370324,-69.771996,-105.000000,bottom
D11,D,D_SOD-323,211.980324,-69.771996,-105.000000,bottom
D12,D,D_SOD-323,227.209875,-78.601996,-105.000000,bottom
D13,D,D_SOD-323,310.000985,-76.966648,-75.000000,bottom
D14,D,D_SOD-323,325.250985,-68.136648,-75.000000,bottom
D15,D,D_SOD-323,342.840985,-68.126648,-75.000000,bottom
D16,D,D_SOD-323,360.550985,-68.546648,-75.000000,bottom
D17,D,D_SOD-323,172.258564,-86.605769,-105.000000,bottom
D18,D,D_SOD-323,189.968564,-86.195769,-105.000000,bottom
D19,D,D_SOD-323,207.570324,-86.191996,-105.000000,bottom
D20,D,D_SOD-323,222.820324,-95.021996,-105.000000,bottom
D21,D,D_SOD-323,314.390985,-93.386648,-75.000000,bottom
D22,D,D_SOD-323,329.640985,-84.546648,-75.000000,bottom
D23,D,D_SOD-323,347.240985,-84.556648,-75.000000,bottom
D24,D,D_SOD-323,364.960985,-84.966648,-75.000000,bottom
D25,D,D_SOD-323,226.660324,-113.661996,-105.000000,bottom
D26,D,D_SOD-323,243.080324,-118.071996,-105.000000,bottom
D27,D,D_SOD-323,294.130985,-116.426648,-75.000000,bottom
D28,D,D_SOD-323,310.550985,-112.016648,-75.000000,bottom
F1,500mA,Fuse_1206_3216Metric,253.809901,-53.577568,-90.000000,bottom
J1,USB_C,MB_Molex-216990_USB_TYPE-C,258.809899,-42.327573,0.000000,bottom
J3,"VIK Keyboard Expansion",VIK_Keyboard_Horizontal,246.820000,-90.635769,-90.000000,bottom
R1,1k,R_0402_1005Metric,260.509904,-76.627579,90.000000,bottom
R2,1k,R_0402_1005Metric,262.409893,-51.627588,-90.000000,bottom
R3,5.1k,R_0402_1005Metric,257.309905,-51.827582,-90.000000,bottom
R4,5.1k,R_0402_1005Metric,260.309888,-51.827565,-90.000000,bottom
R5,10k,R_0402_1005Metric,257.259904,-74.377576,90.000000,bottom
R6,27R,R_0603_1608Metric,259.809887,-58.127560,-90.000000,bottom
R7,27R,R_0603_1608Metric,257.809893,-58.127584,-90.000000,bottom
RESET,R,SW_SPST_TL3342,246.809920,-46.827588,0.000000,bottom
R_S,1M,R_0402_1005Metric,249.349221,-53.342006,180.000000,bottom
U1,RP2040,MB_RP2040-QFN-56,260.009896,-68.627591,180.000000,bottom
U2,SRV05-4,SOT-23-6-routable,258.818564,-54.810769,180.000000,bottom
U3,XC6206,SOT-23,253.798564,-59.583269,90.000000,bottom
U4,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,266.053564,-55.560769,-90.000000,bottom
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,263.009895,-76.627595,90.000000,bottom
